@relation DATASET

@attribute 'S&P Global Equity Indices' numeric
@attribute 'Money and quasi money growth' numeric
@attribute 'Inflation consumer prices' numeric
@attribute 'General government final consumption expenditure' numeric
@attribute 'Household final consumption expenditure' numeric
@attribute 'Final consumption expenditure' numeric
@attribute 'Exports of goods and services' numeric
@attribute 'Gross fixed capital formation' numeric
@attribute 'Gross capital formation' numeric
@attribute 'Imports of goods and services' numeric
@attribute 'Agriculture value added' numeric
@attribute 'Manufacturing value added' numeric
@attribute 'Industry value added' numeric
@attribute 'Services value added' numeric
@attribute 'Adjusted net national income' numeric
@attribute 'Inflation GDP deflator' numeric
@attribute 'GDP growth' numeric
@attribute 'GNI growth' numeric
@attribute 'Population growth' numeric
@attribute 'Rural population growth' numeric
@attribute 'Urban population growth' numeric
@attribute Year numeric

@data
?,?,1.509929,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.701993,-0.019537,2.449104,1960
?,8.194606,1.075182,3.512989,2.065971,2.174154,0.687377,1.26096,3.980032,-0.438596,?,?,?,?,?,1.350154,2.3,2.246773,1.65773,0.379768,2.200571,1961
?,8.933828,1.116071,6.552875,4.932652,6.177388,5.174868,7.10775,7.139121,11.44933,?,?,?,?,?,1.244635,6.1,6.039032,1.537997,0.246911,2.076494,1962
?,9.317126,1.214128,2.387531,4.129708,3.61801,7.116909,7.358536,6.76503,2.408328,?,?,?,?,?,1.088386,4.4,4.371464,1.439165,0.141586,1.970559,1963
?,9.03167,1.308615,2.418636,5.950326,5.133592,11.625028,8.115429,7.409338,5.439594,?,?,?,?,?,1.50394,5.8,5.789084,1.389046,0.084937,1.913437,1964
?,8.621521,1.668461,4.065793,6.337501,6.506537,2.723498,8.56853,7.996839,10.566071,?,?,?,?,?,1.919826,6.4,6.401974,1.250172,-0.0605,1.767653,1965
?,4.719901,2.991001,8.359968,5.659899,6.887316,6.993138,4.085068,7.086433,15.092865,?,?,?,?,?,2.898779,6.5,6.594468,1.154893,-0.162376,1.665559,1966
?,10.277516,2.775636,8.43188,2.984938,3.345735,2.415437,-1.607922,1.284439,7.130341,?,?,?,?,?,3.151279,2.5,2.498142,1.088881,-0.235016,1.59282,1967
?,8.77905,4.217721,5.188254,5.735031,5.373153,7.794902,5.499928,4.902542,15.048389,?,?,?,?,?,4.367188,4.8,4.777671,0.998461,-0.332099,1.495763,1968
?,0.958345,5.4147,2.230833,3.751093,2.477503,4.847306,2.814823,6.328074,5.613733,?,?,?,?,?,4.958488,3.1,3.151412,0.977243,-0.360009,1.467993,1969
?,11.185063,5.895296,18.37968,12.840643,13.869187,24.534116,24.765004,-3.829694,18.726933,?,?,?,?,?,2.211442,3.206807,4.466811,1.165003,0.151142,1.531152,1970
?,13.955251,4.255929,0.125195,3.816414,3.06799,1.74503,1.035049,5.449897,5.33717,?,?,?,?,2.734747,5.077701,3.295477,3.353178,1.264334,1.222655,1.279278,1971
?,13.590393,3.305615,0.395027,6.13315,5.017457,7.780011,8.03091,7.82367,11.253131,?,?,?,?,5.813518,4.32922,5.263263,5.28073,1.070523,1.032618,1.084106,1972
?,10.175979,6.220064,-0.814634,4.957399,4.216251,18.850005,7.04143,8.953993,4.640398,?,?,?,?,5.849365,5.44204,5.643125,5.873473,0.954477,0.916558,0.968059,1973
?,7.850727,11.03526,2.213322,-0.824893,-0.157265,7.902661,-3.870243,-4.799449,-2.264837,?,?,?,?,-4.320194,8.983063,-0.517155,-0.406501,0.91366,0.875727,0.92724,1974
?,10.178432,9.131931,2.50927,2.269684,1.669189,-0.632896,-7.352943,-12.465818,-11.115195,?,?,?,?,-0.805249,9.261424,-0.197679,-0.425905,0.985986,0.948037,0.999565,1975
?,10.208309,5.737027,0.075253,5.577272,4.577092,4.366857,7.969261,14.906101,19.55451,?,?,?,?,5.276221,5.48894,5.38609,5.518081,0.95022,0.912258,0.963796,1976
?,12.034865,6.48646,1.781313,4.213331,3.89896,2.406429,10.311928,10.993725,10.93215,?,?,?,?,4.359481,6.202968,4.608597,4.681963,1.005772,0.967796,1.019346,1977
?,11.271008,7.647464,1.867014,4.397438,4.401723,10.543534,10.668226,10.694831,8.664141,?,?,?,?,5.464773,7.021273,5.561685,5.501754,1.059573,1.02538,1.071789,1978
?,9.792314,11.266044,0.851331,2.374735,2.489286,9.910198,5.692848,3.847354,1.660961,?,?,?,?,-0.237319,8.255898,3.175691,3.47817,1.103577,1.065572,1.117148,1979
?,10.679325,13.50937,1.583292,-0.315547,0.25385,10.770756,-4.283992,-7.695978,-6.640556,?,?,?,?,-1.93813,9.018535,-0.244596,-0.270336,0.95959,0.784585,1.021992,1980
?,12.064435,10.315534,1.627502,1.485259,1.811598,1.235162,1.889047,6.751795,2.641874,?,?,?,?,3.558133,9.336243,2.59447,2.425941,0.981415,0.400952,1.187338,1981
?,10.032207,6.160616,2.400046,1.42172,0.486185,-7.64208,-5.378274,-10.57342,-1.258672,?,?,?,?,-0.829297,6.20374,-1.910891,-1.845341,0.953318,0.369463,1.158818,1982
?,8.271258,3.212435,3.077853,5.70084,4.873166,-2.579113,7.315526,8.728169,12.616931,?,?,?,?,4.698559,3.948367,4.632457,4.558139,0.914379,0.327097,1.119457,1983
?,12.533321,4.317269,1.539791,5.2734,5.120409,8.157994,15.042949,23.777909,24.342947,?,?,?,?,8.935254,3.548237,7.259087,7.129306,0.865817,0.28286,1.067786,1984
?,8.293099,3.561116,4.927616,5.257577,4.946544,3.343245,7.005914,2.404038,6.490031,?,?,?,?,4.297878,3.199612,4.238738,3.915299,0.886129,0.299754,1.087691,1985
?,9.375453,1.858736,4.660326,4.199709,4.127554,7.689104,3.109025,1.775355,8.543519,?,?,?,?,3.450478,2.017624,3.511614,3.291221,0.924164,0.334331,1.12532,1986
?,4.06452,3.740876,1.993328,3.382618,3.204721,10.890786,1.787113,3.518501,5.917912,?,?,?,?,4.032421,2.551295,3.461748,3.450046,0.893829,0.304464,1.093244,1987
?,6.79098,4.009088,2.061334,4.182954,3.914036,16.209808,2.358115,1.733789,3.928401,?,?,?,?,5.881347,3.500904,4.203972,4.279498,0.907999,0.315139,1.107017,1988
?,5.317363,4.827003,3.121332,2.91851,3.149587,11.573154,2.936489,3.62853,4.403492,?,?,?,?,2.5572,3.88802,3.680524,3.68803,0.944406,0.35604,1.140365,1989
-6.55914,2.677963,5.397956,2.756037,2.061477,2.176114,8.821251,-0.100088,-1.022436,3.577303,?,?,?,?,1.120333,3.699157,1.91937,2.062606,1.129651,0.279028,1.410256,1990
26.306705,1.500508,4.234964,1.786827,0.228431,0.467301,6.61432,-4.137396,-5.270634,-0.149655,?,?,?,?,0.186332,3.328513,-0.074085,-0.140333,1.336261,-0.300544,1.867384,1991
4.464264,-0.15317,3.02882,0.677746,3.70991,3.168144,6.929837,4.143277,5.549072,7.009813,?,?,?,?,3.788436,2.279551,3.555396,3.517703,1.386886,-0.256237,1.908633,1992
7.055151,0.596429,2.951657,-0.085315,3.473845,2.748387,3.276625,5.107956,5.392264,8.646571,?,?,?,?,2.279099,2.379261,2.745857,2.735763,1.31868,-0.330624,1.831182,1993
-1.539286,0.404669,2.607442,0.552565,3.878561,3.342781,8.84091,6.109724,9.039731,11.928358,?,?,?,?,4.576318,2.128133,4.037643,3.89402,1.226296,-0.433369,1.730982,1994
34.110654,6.869219,2.80542,0.29746,2.990917,2.525948,10.277486,5.178459,2.886112,8.000844,?,?,?,?,3.318895,2.085677,2.718976,2.768747,1.190787,-0.474899,1.686467,1995
20.263666,7.865489,2.931204,0.475881,3.493274,3.038001,8.182009,7.682629,7.619639,8.696719,?,?,?,?,4.471718,1.825553,3.795881,3.813925,1.163412,-0.517078,1.652783,1996
31.008181,8.003498,2.33769,1.825813,3.763914,3.550853,11.913156,7.397629,9.695145,13.468452,?,?,?,?,5.565199,1.711504,4.487026,4.370705,1.20396,-0.473417,1.681975,1997
26.66859,9.601898,1.552279,1.904359,5.347397,4.7717,2.336248,8.897664,8.379575,11.688822,-3.663986,4.886639,3.978942,4.471561,6.103733,1.085256,4.449911,4.367828,1.165715,-0.526404,1.637628,1998
19.526045,9.508533,2.188027,2.744884,5.297143,4.909886,2.644657,8.346265,8.006281,10.140145,5.1238,5.598982,5.433058,4.436579,4.360693,1.530322,4.6852,4.7696,1.14834,-0.554086,1.612957,1999
-10.139187,8.110464,3.376857,1.538334,5.076875,4.507952,8.565476,6.313956,5.929378,13.017779,14.882561,6.220754,4.443884,3.654713,3.74162,2.27552,4.092176,4.173721,1.112769,-0.380114,1.512011,2000
