@relation data_small

@attribute Date numeric
@attribute Gross_domestic_product numeric
@attribute Personal_consumption_expenditures numeric
@attribute Goods1 numeric
@attribute Durable_goods numeric
@attribute Nondurable_goods numeric
@attribute Services1 numeric
@attribute Gross_private_domestic_investment numeric
@attribute Fixed_investment numeric
@attribute Nonresidential numeric
@attribute Structures numeric
@attribute Equipment numeric
@attribute Intellectual_property_products numeric
@attribute Residential numeric
@attribute Change_in_private_inventories numeric
@attribute Net_exports_of_goods_and_services numeric
@attribute Exports numeric
@attribute Goods2 numeric
@attribute Services2 numeric
@attribute Imports numeric
@attribute Goods3 numeric
@attribute Services3 numeric
@attribute Government_consumption_expenditures_and_gross_investment numeric
@attribute Federal numeric
@attribute National_defense numeric
@attribute Nondefense numeric
@attribute State_and_local numeric

@data
1969,995.4,587.8,298.8,90,208.8,289,172.4,160.9,116,35.8,63.7,16.5,44.9,11.5,0.2,44,32.1,11.9,43.8,30.8,13,235,129.6,101.3,28.3,105.5
1969.3,1011.4,599.2,302.7,90.4,212.2,296.5,172.7,163.5,118.4,36.7,64.7,17,45.1,9.2,1.2,53.9,40.4,13.5,52.7,39.1,13.6,238.2,129.7,100.9,28.9,108.5
1969.5,1032,609.5,306.6,90.6,216,302.9,177.6,167.4,122.4,38.9,66.1,17.4,45,10.2,1,53.3,40,13.4,52.4,38.5,13.8,244,133.3,103.5,29.9,110.6
1969.8,1040.7,621.5,310.6,90.8,219.7,310.9,171.6,165.8,123.3,39.4,66.2,17.7,42.5,5.8,3.3,56.5,42.5,14,53.1,38.8,14.3,244.3,131.9,102.7,29.2,112.4
1970,1053.5,632.6,314.1,89.6,224.5,318.5,168.1,166.3,123.8,39.5,66.4,17.9,42.5,1.8,3.4,56.9,43.4,13.5,53.5,39.3,14.2,249.4,133.5,102.8,30.7,115.9
1970.3,1070.1,642.5,317.6,91,226.5,325,171.5,166.4,125,40.3,66.7,17.9,41.4,5.1,5.4,60.6,45.6,15,55.2,40.1,15.1,250.7,131.7,99.6,32.1,119
1970.5,1088.5,654.5,321.7,92,229.7,332.8,173.9,168.8,126.3,40.6,67.7,18,42.6,5.1,3.8,60.3,45.3,15,56.4,41.2,15.3,256.2,132.3,99.9,32.4,123.9
1970.8,1091.5,661.2,321.8,87.3,234.5,339.4,166.8,170.7,123.5,40.8,64.8,17.9,47.2,-4,3.2,61.1,45.9,15.2,57.9,42.8,15.1,260.4,133.5,100.5,33,126.9
1971,1137.8,680.2,333.9,98.1,235.8,346.3,189.5,177.2,126.3,41.5,66.6,18.1,51,12.3,4.4,63.1,46.5,16.6,58.7,43.4,15.3,263.7,133.3,99.5,33.8,130.4
1971.3,1159.4,694.3,339.8,101,238.8,354.4,197.3,186.5,129.5,42.3,68.7,18.5,57,10.9,-0.2,63.1,46.4,16.7,63.3,47.4,15.9,268,134.2,97.8,36.3,133.8
1971.5,1180.3,706.7,343.9,103.4,240.4,362.8,202.1,191.9,131.2,43.1,69.3,18.8,60.7,10.2,-0.1,65.4,49,16.4,65.5,49.6,15.8,271.7,135.5,97.4,38.1,136.2
1971.8,1193.6,722.9,350.9,107.3,243.6,372,198.4,198.7,134.7,43.8,71.6,19.3,64,-0.3,-1.7,60.3,42.9,17.4,61.9,45.7,16.2,274,134.7,97.2,37.4,139.3
1972,1233.8,740.1,357.7,110.7,247,382.4,213,209.7,140.6,45.8,74.9,19.9,69.2,3.2,-3.5,68.6,50.4,18.2,72.2,55.1,17.1,284.3,141.4,101.4,40,142.9
1972.3,1270.1,758.6,368.4,114.1,254.3,390.2,226.8,214.8,144,46.6,76.9,20.4,70.8,12,-4.3,67.2,49.7,17.5,71.4,54.1,17.3,289,144.6,103.7,40.9,144.4
1972.5,1293.8,777.1,377.7,117.6,260.1,399.4,233.1,219.4,147,47.3,78.9,20.8,72.4,13.7,-2.6,71.5,52.5,18.9,74.1,57.3,16.8,286.3,138.5,97.4,41,147.8
1972.8,1332,801.9,391.5,123.4,268.1,410.4,239.7,232.2,155,49,84.8,21.2,77.3,7.5,-3.1,76.1,57.7,18.4,79.2,61.3,17.9,293.5,141.7,100,41.6,151.8
1973,1380.7,826.5,407.3,131.8,275.5,419.2,254.3,243.8,162.8,51.3,89.8,21.7,80.9,10.6,-1.4,84,65.2,18.7,85.4,66.5,18.9,301.3,145.9,103,42.9,155.4
1973.3,1417.6,842,412.7,131.3,281.4,429.4,268.2,250,171.3,54.1,94.9,22.3,78.7,18.2,2.5,91.9,72.6,19.4,89.5,70,19.4,304.9,146.5,103.4,43.1,158.4
1973.5,1436.8,860.5,420.7,130.8,289.9,439.8,264.3,254.6,176.6,56.8,96.9,23,77.9,9.8,6.4,97.6,77.2,20.3,91.1,72.1,19,305.6,143.4,99.6,43.8,162.2
1973.8,1479.1,875.6,425.9,128.2,297.7,449.7,280.9,255.9,180.1,57.7,98.7,23.7,75.7,25,9,107.6,88.1,19.6,98.7,78.8,19.9,313.7,146.5,102.2,44.3,167.2
